cycle,mean(grassland_biomass),min(grassland_biomass),max(grassland_biomass)
201,0.47573351130655195,0.003,0.701
202,0.4757679020100688,0.00200000000000011,0.701
203,0.4756776067839387,0.00300000000000011,0.701
204,0.47552575376886136,0.00400000000000011,0.701
205,0.475249685929667,0.00500000000000011,0.701
206,0.4755389447236365,0.00600000000000011,0.701
207,0.4752639761306728,0.00200000000000011,0.701
208,0.4754290201005217,0.00300000000000011,0.701
209,0.47559437814072214,0.002,0.701
210,0.47544676507539424,0.002,0.701
211,0.4754882223618264,0.003,0.701
212,0.47527952261308376,0.002,0.701
213,0.4750719221105701,0.003,0.701
214,0.4753035489949928,0.004,0.701
215,0.47522157663318343,0.005,0.701
216,0.47507757537690326,0.006,0.701
217,0.47487170226132536,0.007,0.701
218,0.47485489949750537,0.008,0.701
219,0.4746498115578059,0.009,0.701
220,0.47425690954775584,0.002,0.701
221,0.4741157349246406,0.003,0.701
222,0.47403753140705185,0.002,0.701
223,0.47377214195981693,0.003,0.701
224,0.4735078517588099,0.004,0.701
225,0.4733070037688624,0.002,0.701
226,0.473170069095495,0.003,0.701
227,0.47309689070353494,0.004,0.701
228,0.4727737123115742,0.005,0.701
229,0.47232600502514155,0.006,0.701
230,0.4720050251256446,0.007,0.701
231,0.4718107726130813,0.008,0.701
232,0.4718682474874541,0.002,0.701
233,0.4718633793970006,0.00100000000000011,0.701
234,0.47192148241207726,0.00200000000000011,0.701
235,0.47172895728644915,0.00300000000000011,0.701
236,0.47166284547740434,0.00400000000000011,0.701
237,0.47172314698494167,0.00500000000000011,0.701
238,0.4715961055276541,0.00600000000000011,0.701
239,0.47140734924624567,0.00700000000000011,0.701
240,0.4712198492462453,0.00800000000000011,0.701
241,0.4709709484924781,0.00900000000000011,0.701
242,0.47116206030152286,0.01000000000000011,0.701
243,0.471478800251272,0.01100000000000011,0.701
244,0.47167038316584503,0.01200000000000011,0.701
245,0.47173696608041876,0.01300000000000012,0.701
246,0.4718041771356956,0.01400000000000012,0.701
247,0.4718718592964985,0.002,0.701
248,0.47200251256282877,0.003,0.701
249,0.4714437814070497,0.004,0.701
250,0.47113724874373414,0.002,0.701
251,0.4711449434673514,0.003,0.701
252,0.4710281092964982,0.004,0.701
253,0.4708489321608188,0.005,0.701
254,0.470796011306549,0.006,0.701
